Recorded_taxa	Status	MinT	MaxT
Baltzerites_baltzeri	extinct	188.8	190.54
Fuciniceras_pseudodilectum	extinct	188.21	188.24
Fuciniceras_pseudodilectum	extinct	188	188.21
Fuciniceras_pseudodilectum	extinct	188.21	188.24
Fuciniceras_pseudodilectum	extinct	188	188.21
Fuciniceras_pseudodilectum	extinct	188.21	188.24
Fuciniceras_pseudodilectum	extinct	188.21	188.24
Fuciniceras_perplicatum_sensu_GM	extinct	188.4	190.2
Tragophylloceras_carinatum	extinct	188.4	189.5
Tragophylloceras_carinatum	extinct	188.4	189.5
Tragophylloceras_carinatum	extinct	188.4	189.5
Tragophylloceras_carinatum	extinct	188.4	188.8
Tragophylloceras_carinatum	extinct	188.4	189.5
Tragophylloceras_carinatum	extinct	188.4	189.5
Fuciniceras_angulosum	extinct	188	188.4
Lytoceras_tortum	extinct	188	190.2
Lytoceras_tortum	extinct	188	190.2
Lytoceras_tortum	extinct	188	190.2
Lytoceras_tortum	extinct	188	188.4
Lytoceras_tortum	extinct	188	190.2
Lytoceras_tortum	extinct	188.4	188.8
Lytoceras_tortum	extinct	188.4	190.2
Lytoceras_tortum	extinct	188	190.2
Lytoceras_tortum	extinct	188.4	188.8
Lytoceras_tortum	extinct	188.24	188.8
Lytoceras_tortum	extinct	188	190.2
Lytoceras_tortum	extinct	189.5	190.2
Lytoceras_tortum	extinct	188.4	192.9
Lytoceras_tortum	extinct	185.55	188
Lytoceras_tortum	extinct	185.55	188
Lytoceras_tortum	extinct	185.55	188
Lytoceras_tortum	extinct	185.55	188
Lytoceras_tortum	extinct	185.55	188
Lytoceras_tortum	extinct	185.55	188
Lytoceras_tortum	extinct	185.55	188
Radstockiceras_complanosum	extinct	191.84	192.9
Radstockiceras_complanosum	extinct	190.78	191.84
Radstockiceras_complanosum	extinct	190.2	192.9
Radstockiceras_complanosum	extinct	190.78	191.84
Radstockiceras_complanosum	extinct	191.84	192.9
Radstockiceras_complanosum	extinct	190.54	190.78
Radstockiceras_complanosum	extinct	190.2	192.9
Radstockiceras_complanosum	extinct	190.54	191.84
Radstockiceras_complanosum	extinct	190.2	192.9
Radstockiceras_complanosum	extinct	190.2	190.78
Radstockiceras_complanosum	extinct	190.2	192.9
Radstockiceras_complanosum	extinct	190.2	190.54
Radstockiceras_complanosum	extinct	190.54	190.78
Radstockiceras_complanosum	extinct	190.2	192.9
Radstockiceras_complanosum	extinct	191.84	192.9
Radstockiceras_complanosum	extinct	190.2	192.9
Radstockiceras_complanosum	extinct	191.84	192.9
Radstockiceras_complanosum	extinct	191.84	192.9
Radstockiceras_complanosum	extinct	190.54	191.84
Radstockiceras_complanosum	extinct	191.84	192.9
Radstockiceras_complanosum	extinct	190.2	192.9
Radstockiceras_complanosum	extinct	190.2	192.9
Radstockiceras_complanosum	extinct	190.2	192.9
Radstockiceras_complanosum	extinct	190.2	192.9
Radstockiceras_complanosum	extinct	191.84	192.9
Radstockiceras_complanosum	extinct	190.2	192.9
Epideroceras?_plumarius	extinct	190.2	192.9
Paramicroderoceras_tardecrescens	extinct	190.54	190.78
Paramicroderoceras_tardecrescens	extinct	190.54	190.78
Paramicroderoceras_tardecrescens	extinct	190.54	190.78
Paramicroderoceras_tardecrescens	extinct	190.54	190.78
Paratropidoceras_numidianum	extinct	190.2	191.84
